,名称,评估机构数,wind一致预期（180天）,wind一致预期（90天）,wind一致预期（30天）,前收盘价,总股本,流通股本,pct_change, mk_cap 
6666.HK,恒大物业,,,10.39,,0.81,10810811000,5427737000,1182.72%," 8,756,756,910 "
9885.HK,药师帮,,57.97,57.97,,6.29,675759001,155645211,821.62%," 4,250,524,116 "
1216.HK,中原银行,,,2.58,,0.3,36549823322,5945169000,760.00%," 10,964,946,997 "
2139.HK,甘肃银行,,,1.37,,0.27,15069791330,2543800000,407.41%," 4,068,843,659 "
3738.HK,阜博集团,4,8.224,15,,3.25,2280443656,1650263073,361.54%," 7,411,441,882 "
1121.HK,金阳新能源,,10.161,10.161,10.161,2.26,1813269608,902877451,349.60%," 4,097,989,314 "
0007.HK,智富资源投资,,,,,0.032,3355140697,1916160282,,107364502.3
0035.HK,远东发展,,,4.18,,1,3034865756,1179017653,318.00%," 3,034,865,756 "
0009.HK,金奥国际,,,,,0.013,3568790629,1290066432,,46394278.18
2880.HK,辽港股份,,2.5,2.5,,0.7,23905474669,865467304,257.14%," 16,733,832,268 "
0486.HK,俄铝,,10.2,10.2,,3.12,15193014862,2643599229,226.92%," 47,402,206,369 "
0656.HK,复星国际,6,9.32,13,,4.22,8182755624,2182376727,208.06%," 34,531,228,733 "
0272.HK,瑞安房地产,,2,2,,0.69,8027265324,3513659552,189.86%," 5,538,813,074 "
0410.HK,SOHO中国,,2.1,2.1,,0.73,5199524031,1875424031,187.67%," 3,795,652,543 "
1375.HK,中州证券,,,4.33,,1.68,4642884700,1250029000,157.74%," 7,800,046,296 "
1196.HK,伟禄集团,,18.5,18.5,18.5,7.23,1440709880,401291880,155.88%," 10,416,332,432 "
0018.HK,东方企控集团,,,,,0.37,2397917898,700196614,,887229622.3
1476.HK,恒投证券,,,4.42,,1.8,2604567412,450846000,145.56%," 4,688,221,342 "
1548.HK,金斯瑞生物科技,9,25.565,26.35,,10.78,2138069983,1153700429,144.43%," 23,048,394,417 "
0021.HK,大中华控股,,,,,0.13,3975233406,1491269521,,516780342.8
